x_west,flux_west,x_east,flux_east,x_west,Tw_west,x_west,Tf_west,x_east,Tf_east,x_east,Tw_east
16.5543659838,0.8956419123,59.1872701231,0.5784979942,19.54843414,472.7297297,33.95910796,411.0065238,63.2413672539,499.9601994718,33.5486708445,553.5599017343
16.7696960818,0.8768126399,58.6387235299,0.5866108224,19.68745782,465.4342964,34.24584431,412.2631534,63.7908619721,501.0656336222,33.7934457645,567.7652235749
16.9766895852,0.8577234723,58.0900606394,0.5911030497,19.830826,458.5228332,34.53258066,413.8339405,64.3403566903,502.1710677726,34.0931701562,580.4234853921
17.1718678367,0.8399582009,57.541421439,0.5963328067,19.93943825,451.4193849,34.81931701,414.9858511,64.8898514085,503.3780915106,34.4178715806,592.5091532918
17.2993324818,0.8231385505,56.9928080825,0.6023671418,20.13059582,444.9878844,35.10605336,415.1952893,65.4393461267,504.6359100425,34.8175041029,604.2162482096
17.4481799373,0.8060124762,56.4441774968,0.6078650915,20.23486358,438.7963653,35.39278971,417.0802338,65.988840845,505.995318162,35.3170447559,614.6069374725
17.5968598507,0.7858704035,55.8952410921,0.6038422015,20.48249952,429.2014742,35.67952606,417.9441667,66.5383355632,507.3547262815,35.8665394741,621.1474145624
17.7142629431,0.7644910605,55.4456961546,0.5876261233,20.7127575,420.7017707,35.96626241,419.5149538,67.0878302814,508.7649291949,36.4160341923,624.0814612906
17.8193681679,0.7464486106,55.1708712148,0.5745086282,20.8865371,415.6141659,36.25299876,420.7192239,67.6373249996,510.225926902,36.9655289105,623.104308894
17.9183416253,0.7303836236,54.9706061046,0.5527514979,21.3911186,422.2376514,36.53973511,422.3685504,68.1868197178,511.8901037845,37.5150236287,618.8254948987
18.0172876167,0.7138242106,54.8239468418,0.5356829502,21.55645748,427.4212488,36.82647146,423.2063035,68.736314436,513.554280667,38.0645183469,610.9910453354
18.1162130087,0.6968939781,54.670182775,0.5193168118,21.72067921,437.0684995,37.11320781,425.091248,69.2858091542,515.0152783742,38.5390819672,599.3930750406
18.2150697358,0.6787276807,54.5449500576,0.5036320105,21.96831515,449.2551894,37.39994416,426.6620351,69.8353038724,516.4254812875,38.9137374569,586.9827650927
18.2890203631,0.6616481562,54.3947170717,0.4862508906,22.09343647,453.8,37.68668051,428.4422604,70.3847985906,517.8356842009,39.2384388813,574.8163377393
18.3962418374,0.6442485405,54.2514731461,0.4645640013,22.22898456,462.1431234,37.97341686,428.861137,70.9342933088,519.1950923204,39.4882092077,563.1238243895
18.4950230333,0.6247225716,54.1272718173,0.4440068203,22.32021885,470.3299161,38.26015321,430.2748454,71.483788027,520.5545004399,39.7629565668,549.8476588451
18.5938042291,0.6051966028,53.974847751,0.4231306284,22.52875438,479.0412395,38.54688956,431.5052953,72.0332827452,521.761524178,40.0626809586,536.4312598307
18.692585425,0.5856706339,53.8717936865,0.404508,22.71991195,488.9524697,38.83362591,432.1336101,72.5827774635,522.7653687407,40.3624053503,523.7598511257
18.747413295,0.5667786566,53.7241728554,0.3852400329,22.8285242,497.3998136,39.12036226,433.8876557,73.1322721817,523.3628549528,40.6575884634,511.4271739773
18.8443741377,0.5465860268,53.6175718885,0.3671398214,22.98145025,505.94315,39.40709861,435.2228247,73.6817668999,525.0778266291,41.0118081991,499.0367633997
18.9234384785,0.5252537625,53.5172912697,0.3516516947,23.07616014,512.0866729,39.69383496,435.7726002,74.2312616181,525.6753128412,41.4114407214,486.6735761757
19.0292283897,0.5034854943,53.4169988057,0.3357948031,23.23256178,520.582013,39.98057131,435.9296789,74.7807563363,526.7807469916,41.8610273091,477.0431820589
19.1349771019,0.480975587,53.3167063418,0.3199379115,23.37592996,530.3078031,40.26730766,437.0815894,75.3302510545,527.8353863481,42.3355909293,484.6977084947
19.2691795306,0.4570364781,53.2199408975,0.3029396047,23.5323316,537.4287046,40.55404401,437.500466,75.8797457727,529.09320488,42.747711968,497.8191242138
19.3748664445,0.4334141124,53.072316259,0.2835531061,23.6235659,544.916123,40.84078036,438.2858595,76.4292404909,530.3510234119,43.0549294695,509.4342352615
19.4818393522,0.4115399416,52.9656965373,0.2648690168,23.84687269,555.3217148,41.12751671,438.9403541,76.9787352091,531.5580471499,43.3596492678,521.831640913
19.5723162259,0.3923350282,52.8689265806,0.2477302281,24.04182181,564.0273659,41.41425306,438.9403541,77.5282299273,532.7650708879,43.6593736596,535.0952073566
19.6627711269,0.372734574,52.5517497668,0.2351219799,24.22310554,573.137931,41.70098941,439.7781073,78.0777246455,533.9212998321,43.9590980513,547.800031068
